"username_1","username_2","timestamp_s"
"borispistorius","larsklingbeil",1630270946
"IbrahimYetim","larsklingbeil",1630267898
"Fcm_BeckerSPD","larsklingbeil",1630266189
"spdde","larsklingbeil",1630263703
"TomSchreiberMdA","larsklingbeil",1630268685
"BoehningB","larsklingbeil",1630268863
"jessenphil","larsklingbeil",1630268944
"KatjaMast","larsklingbeil",1630266172
"BoehningB","larsklingbeil",1630266217
"mirko1a","larsklingbeil",1630263814
"Beneoster","larsklingbeil",1630266468
"4g0nm","nolifedie",1630276137
"peterwinkelhub1","nolifedie",1630267526
"Reallax3","nolifedie",1630274302
"4g0nm","nolifedie",1630266167
"peterwinkelhub1","nolifedie",1630260294
"Reallax3","nolifedie",1630272155
"4g0nm","nolifedie",1630273322
"GvB1480","nolifedie",1630261709
"4g0nm","nolifedie",1630267992
"SaschaWendling","Volker_Beck",1630269183
"WolfMalca","Volker_Beck",1630263025
"gnurpsnewoel","Volker_Beck",1630274365
"EckGre5","Volker_Beck",1630260381
"SteinekeCDU","wanderwitz",1630267277
"rockToamna","hannesleitlein",1630264215
"katjaberlin","hannesleitlein",1630266389
"C_Sterzik","horn",1630267754
"katdro","air_dal",1630262141
"ebner_sha","air_dal",1630269387
"sven_kindler","air_dal",1630263965
"ebner_sha","air_dal",1630265985
"StriegSe","air_dal",1630268238
"ebner_sha","air_dal",1630265806
"StriegSe","Afelia",1630259566
"rosadomm_","RasmusAndresen",1630263519
"MartinRosemann","MichaelRueter",1630262830
"Toens_NRW04","MichaelRueter",1630263394
"MartinRosemann","MichaelRueter",1630264196
"carstensieling","MichaelRueter",1630262562
"ebner_sha","janoschdahmen",1630268675
"beerenstark","janoschdahmen",1630266414
"koschyk","janoschdahmen",1630258933
"henfling_m","janoschdahmen",1630262266
"platz13","janoschdahmen",1630260984
"TKinderschutz","janoschdahmen",1630265019
"peter_simone","janoschdahmen",1630255037
"beerenstark","janoschdahmen",1630265324
"UweSchneidewind","janoschdahmen",1630263047
"cem_oezdemir","danielmack",1630273376
"JuttaPaulusRLP","sven_giegold",1630264011
"BeateWaRo","sven_giegold",1630269272
"ebner_sha","sven_giegold",1630263804
"GabrieleTriebel","sven_giegold",1630272719
"SabineBangert","sven_giegold",1630263995
"sven_kindler","sven_giegold",1630267706
"CBvHeusinger","sven_giegold",1630267711
"julia_verlinden","sven_giegold",1630266030
"JuttaPaulusRLP","sven_giegold",1630264496
"johannes_remmel","sven_giegold",1630265813
"ulle_schauws","sven_giegold",1630265603
"katdro","sven_giegold",1630265479
"AlexandraGeese","sven_giegold",1630269098
"MartinHaeusling","sven_giegold",1630271630
"JosefinePaul","svenlehmann",1630265316
"peter_simone","svenlehmann",1630261449
"katdro","svenlehmann",1630261458
"stefanziller","svenlehmann",1630261933
"sven_kindler","svenlehmann",1630261583
"katdro","svenlehmann",1630277815
"ebner_sha","svenlehmann",1630264160
"mjoukov","svenlehmann",1630262187
"ebner_sha","svenlehmann",1630263157
"mjoukov","svenlehmann",1630265406
"SteinbergerRosi","svenlehmann",1630266428
"ulle_schauws","svenlehmann",1630261389
"SabineBangert","svenlehmann",1630264078
"ebner_sha","svenlehmann",1630265581
"ebner_sha","svenlehmann",1630269157
"petrimv","extra3",1630266680
"Umweltfan","extra3",1630262608
"LukasKilian","extra3",1630267671
"W_Schmidt_","StephanEwald",1630260176
"DoroBaer","Mellcolm",1630262757
"cem_oezdemir","Mellcolm",1630275573
"g_reichenbach","westphal",1630264796
"LindaTeuteberg","lutzmache",1630256531
"cfuehner","Junge_Union",1630263634
"josefheynckes","eikeklapper",1630273035
"Schuster_MdEP","SPDEuropa",1630268939
"MariaNoichl","SPDEuropa",1630267184
"SPDEuropa","SPDEuropa",1630268164
"matthi_bolte","JanAlbrecht",1630272426
"mjoukov","JanAlbrecht",1630269341
